## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[alignment/SRR27639570.sorted.bam] OUTPUT=alignment/SRR27639570.dedup.bam METRICS_FILE=logs/SRR27639570.dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 21 02:06:08 EDT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR27639570	9958	65890872	278873	220712	1902	3416937	0	0.051868	613147964

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	59237166	59237166
2.0	1.89811	3073158	3073158
3.0	2.70471	152597	152597
4.0	3.429126	9012	9012
5.0	4.079731	1086	1086
6.0	4.664045	331	331
7.0	5.188823	166	166
8.0	5.660132	106	106
9.0	6.083418	59	59
10.0	6.463576	55	55
11.0	6.804999	50	50
12.0	7.111635	33	33
13.0	7.387027	15	15
14.0	7.634359	8	8
15.0	7.856491	22	22
16.0	8.055989	9	9
17.0	8.235161	11	11
18.0	8.396076	11	11
19.0	8.540596	7	7
20.0	8.670391	9	9
21.0	8.78696	2	2
22.0	8.891653	5	5
23.0	8.985678	2	2
24.0	9.070123	2	2
25.0	9.145964	2	2
26.0	9.214078	3	3
27.0	9.275251	2	2
28.0	9.330191	3	3
29.0	9.379534	1	1
30.0	9.423848	0	0
31.0	9.463648	1	1
32.0	9.499393	0	0
33.0	9.531495	0	0
34.0	9.560326	0	0
35.0	9.58622	0	0
36.0	9.609476	0	0
37.0	9.630362	0	0
38.0	9.64912	0	0
39.0	9.665966	0	0
40.0	9.681096	0	0
41.0	9.694685	0	0
42.0	9.706889	0	0
43.0	9.717849	0	0
44.0	9.727693	0	0
45.0	9.736534	0	0
46.0	9.744474	0	0
47.0	9.751605	1	1
48.0	9.758009	0	0
49.0	9.763761	0	0
50.0	9.768927	0	0
51.0	9.773566	0	0
52.0	9.777733	0	0
53.0	9.781475	0	0
54.0	9.784836	0	0
55.0	9.787855	0	0
56.0	9.790565	0	0
57.0	9.793	0	0
58.0	9.795187	0	0
59.0	9.797151	0	0
60.0	9.798914	0	0
61.0	9.800498	0	0
62.0	9.801921	0	0
63.0	9.803199	0	0
64.0	9.804346	0	0
65.0	9.805377	0	0
66.0	9.806302	0	0
67.0	9.807133	0	0
68.0	9.80788	0	0
69.0	9.80855	0	0
70.0	9.809153	0	0
71.0	9.809693	0	0
72.0	9.810179	0	0
73.0	9.810615	0	0
74.0	9.811007	0	0
75.0	9.811359	0	0
76.0	9.811675	0	0
77.0	9.811959	0	0
78.0	9.812214	0	0
79.0	9.812443	0	0
80.0	9.812648	0	0
81.0	9.812833	0	0
82.0	9.812999	0	0
83.0	9.813148	0	0
84.0	9.813281	0	0
85.0	9.813402	0	0
86.0	9.813509	0	0
87.0	9.813606	0	0
88.0	9.813693	0	0
89.0	9.813772	0	0
90.0	9.813842	0	0
91.0	9.813905	0	0
92.0	9.813961	0	0
93.0	9.814012	0	0
94.0	9.814058	0	0
95.0	9.814099	0	0
96.0	9.814136	0	0
97.0	9.814169	0	0
98.0	9.814199	0	0
99.0	9.814225	0	0
100.0	9.814249	0	0

