## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[alignment/SRR27639580.sorted.bam] OUTPUT=alignment/SRR27639580.dedup.bam METRICS_FILE=logs/SRR27639580.dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 21 02:22:08 EDT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR27639580	63099	79384450	432186	223607	24310	14610537	0	0.184128	188298351

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	52610788	52610788
2.0	1.656004	10105414	10105414
3.0	2.086345	1732767	1732767
4.0	2.36865	273902	273902
5.0	2.553844	42128	42128
6.0	2.675331	6702	6702
7.0	2.755027	1292	1292
8.0	2.807309	406	406
9.0	2.841605	170	170
10.0	2.864104	128	128
11.0	2.878863	73	73
12.0	2.888545	50	50
13.0	2.894897	28	28
14.0	2.899063	10	10
15.0	2.901797	12	12
16.0	2.90359	12	12
17.0	2.904766	6	6
18.0	2.905538	3	3
19.0	2.906044	0	0
20.0	2.906376	2	2
21.0	2.906594	4	4
22.0	2.906737	3	3
23.0	2.90683	5	5
24.0	2.906892	0	0
25.0	2.906932	2	2
26.0	2.906959	1	1
27.0	2.906976	0	0
28.0	2.906987	1	1
29.0	2.906995	1	1
30.0	2.907	0	0
31.0	2.907003	0	0
32.0	2.907005	1	1
33.0	2.907006	2	2
34.0	2.907007	0	0
35.0	2.907008	0	0
36.0	2.907008	0	0
37.0	2.907009	0	0
38.0	2.907009	0	0
39.0	2.907009	0	0
40.0	2.907009	0	0
41.0	2.907009	0	0
42.0	2.907009	0	0
43.0	2.907009	0	0
44.0	2.907009	0	0
45.0	2.907009	0	0
46.0	2.907009	0	0
47.0	2.907009	0	0
48.0	2.907009	0	0
49.0	2.907009	0	0
50.0	2.907009	0	0
51.0	2.907009	0	0
52.0	2.907009	0	0
53.0	2.907009	0	0
54.0	2.907009	0	0
55.0	2.907009	0	0
56.0	2.907009	0	0
57.0	2.907009	0	0
58.0	2.907009	0	0
59.0	2.907009	0	0
60.0	2.907009	0	0
61.0	2.907009	0	0
62.0	2.907009	0	0
63.0	2.907009	0	0
64.0	2.907009	0	0
65.0	2.907009	0	0
66.0	2.907009	0	0
67.0	2.907009	0	0
68.0	2.907009	0	0
69.0	2.907009	0	0
70.0	2.907009	0	0
71.0	2.907009	0	0
72.0	2.907009	0	0
73.0	2.907009	0	0
74.0	2.907009	0	0
75.0	2.907009	0	0
76.0	2.907009	0	0
77.0	2.907009	0	0
78.0	2.907009	0	0
79.0	2.907009	0	0
80.0	2.907009	0	0
81.0	2.907009	0	0
82.0	2.907009	0	0
83.0	2.907009	0	0
84.0	2.907009	0	0
85.0	2.907009	0	0
86.0	2.907009	0	0
87.0	2.907009	0	0
88.0	2.907009	0	0
89.0	2.907009	0	0
90.0	2.907009	0	0
91.0	2.907009	0	0
92.0	2.907009	0	0
93.0	2.907009	0	0
94.0	2.907009	0	0
95.0	2.907009	0	0
96.0	2.907009	0	0
97.0	2.907009	0	0
98.0	2.907009	0	0
99.0	2.907009	0	0
100.0	2.907009	0	0

